,Radix Sort(Base 10),Radix Sort(Base 2^16),Merge Sort,Shell Sort,Shell Sort Knuth's Sequence,Quick Sort(Median of Three),Quick Sort(Median of Five),Quick Sort(Median of Seven),STL Sort
367000,119996,27999,183999,267995,227005,176995,243994,310004,293943,126997
368000,132028,23956,176959,257006,243997,172994,248045,300948,260988,131997
369000,121998,23999,195000,276040,310955,207996,304004,392979,312996,151034
370000,168039,35000,196958,253005,260016,221044,311030,339954,260994,128040
371000,120003,27004,174007,253949,257004,208038,240999,322088,329958,174963
372000,147957,27015,189956,268997,236004,178947,247000,306032,255012,133023
373000,120949,24999,204050,258948,231999,207994,257058,343952,377034,145004
374000,164049,24995,221950,334008,281966,266920,248996,297989,301033,162026
375000,128007,27996,200976,265959,231039,187963,299011,322050,274981,157006
376000,130997,28036,180999,264998,254956,176040,255044,307236,266016,153006
377000,139011,24955,226955,312998,224035,179961,250993,306037,276003,133946
378000,125039,25001,199984,273030,238001,180955,259999,309035,280957,129032
379000,128998,24999,182038,256956,266997,185999,267042,315948,268991,138048
380000,131015,27994,210955,283998,244992,205981,288034,353001,279994,138958
381000,133997,25995,179961,268998,241000,210951,253038,312985,270994,131003
382000,121997,25001,186011,273990,241033,188958,255999,361046,288985,140006
383000,130959,25998,184995,279030,235998,180996,292959,333041,266033,136959
384000,131003,26000,182993,314999,291015,203964,285998,375994,306961,138035
385000,127001,29999,185044,294998,250949,181994,248044,305945,274037,188004
386000,161009,36958,199995,257991,253993,225026,386020,367997,278957,130958
387000,127048,25997,214993,323952,290992,230996,325998,366036,370994,170954
388000,142990,32038,256003,277996,253991,228959,323047,388996,400945,148038
389000,129038,25012,187947,289999,241991,186997,255998,373037,270951,142953
390000,187996,38998,197000,290992,254997,229047,273955,389037,314470,131998
391000,127998,31035,192961,307010,251981,207045,271950,346041,289998,137967
392000,127960,26971,192991,272996,312996,181999,258006,315060,271988,131957
393000,135995,26000,185997,315998,295033,214010,256948,317034,278002,137986
394000,125998,25996,195274,348947,276047,187951,271034,316004,278996,134997
395000,132048,27003,191990,295958,236992,186996,258990,321998,293973,138002
396000,153952,28051,187002,289032,243999,190959,262958,316034,296957,133035
397000,128039,25958,190997,295000,243968,191997,261999,328987,270033,139965
398000,155057,26964,191996,267044,264005,204958,269979,328041,272988,135032
399000,128998,25998,189997,273040,261994,189959,261995,319508,271992,136993
400000,138057,32988,200037,288957,264996,193019,263994,338986,275040,136960
401000,130991,26997,191032,273003,243002,218996,266949,320034,272366,139993
402000,130036,25960,193034,276952,244995,191998,266039,368003,290947,159986
403000,128998,25997,195033,282996,259959,192964,267994,319988,278993,140000
